CITY,MORT,PRECIP,EDUC,NONWHITE,NOX,SO2,logNOX,logSOX,Region
"San Jose, CA",790.73,13,12.2,3,32,3,3.465735903,1.098612289,West
"Wichita, KS",823.76,28,12.1,7.5,2,1,0.693147181,0,Midwest
"San Diego, CA",839.71,10,12.1,5.9,66,20,4.189654742,2.995732274,West
"Lancaster, PA",844.05,43,9.5,2.9,7,32,1.945910149,3.465735903,Northeast
"Minneapolis, MN",857.62,25,12.1,2,11,26,2.397895273,3.258096538,Midwest
"Dallas, TX",860.1,35,11.8,14.8,1,1,0,0,South
"Miami, FL",861.44,60,11.5,13.5,1,1,0,0,South
"Los Angeles, CA",861.83,11,12.1,7.8,319,130,5.765191103,4.86753445,West
"Grand Rapids, MI",871.34,31,10.9,5.1,3,10,1.098612289,2.302585093,Midwest
"Denver, CO",871.77,15,12.2,4.7,8,28,2.079441542,3.33220451,West
"Rochester, NY",874.28,32,11.1,5,4,18,1.386294361,2.890371758,Northeast
"Hartford, CT",887.47,43,11.5,7.2,3,10,1.098612289,2.302585093,Northeast
"Fort Worth, TX",891.71,31,11.4,11.5,1,1,0,0,South
"Portland, OR",893.99,37,12,3.6,21,44,3.044522438,3.784189634,West
"Worcester, MA",895.7,45,11.1,1,3,8,1.098612289,2.079441542,Northeast
"Seattle, WA",899.26,35,12.2,5.7,7,20,1.945910149,2.995732274,West
"Bridgeport, CT",899.53,45,10.6,5.3,4,4,1.386294361,1.386294361,Northeast
"Springfield, MA",904.16,45,11.1,3.4,4,20,1.386294361,2.995732274,Northeast
"San Francisco, CA",911.7,18,12.2,13.7,171,86,5.141663557,4.454347296,West
"York, PA",911.82,42,9,4.8,8,49,2.079441542,3.891820298,Northeast
"Utica, NY",912.2,40,10.3,2.5,2,11,0.693147181,2.397895273,Northeast
"Canton, OH",912.35,36,10.7,6.7,7,20,1.945910149,2.995732274,Midwest
"Kansas City, MO",919.73,35,12,12.6,4,4,1.386294361,1.386294361,Midwest
"Akron, OH",921.87,36,11.4,8.8,15,59,2.708050201,4.077537444,Midwest
"New Haven, CT",923.23,46,11.3,8.8,3,8,1.098612289,2.079441542,Midwest
"Milwaukee, WI",929.15,30,11.1,5.8,23,125,3.135494216,4.828313737,Midwest
"Boston, MA",934.7,43,12.1,3.5,32,62,3.465735903,4.127134385,Northeast
"Dayton, OH",936.23,36,11.4,12.4,4,16,1.386294361,2.772588722,Midwest
"Providence, RI",938.5,42,10.1,2.2,4,18,1.386294361,2.890371758,Northeast
"Flint, MI",941.18,30,10.8,13.1,4,11,1.386294361,2.397895273,Midwest
"Reading, PA",946.18,41,9.6,2.7,11,89,2.397895273,4.48863637,Northeast
"Syracuse, NY",950.67,38,11.4,3.8,5,25,1.609437912,3.218875825,Northeast
"Houston, TX",952.53,46,11.4,21,5,1,1.609437912,0,South
"Saint Louis, MO",953.56,34,9.7,17.2,15,68,2.708050201,4.219507705,Midwest
"Youngstown, OH",954.44,38,10.7,11.7,13,39,2.564949357,3.663561646,Midwest
"Columbus, OH",958.84,37,11.9,13.1,9,15,2.197224577,2.708050201,Midwest
"Detroit, MI",959.22,31,10.8,15.8,35,124,3.555348061,4.820281566,Midwest
"Nashville, TN",961.01,45,10.1,21,14,78,2.63905733,4.356708827,South
"Allentown, PA",962.35,44,9.8,0.8,6,33,1.791759469,3.496507561,Northeast
"Washington, DC",967.8,41,12.3,25.9,28,102,3.33220451,4.624972813,Northeast
"Indianapolis, IN",968.66,39,11.4,15.6,7,33,1.945910149,3.496507561,Midwest
"Cincinnati, OH",970.47,40,10.2,13,26,146,3.258096538,4.983606622,Midwest
"Greeensboro, NC",971.12,42,10.4,22.7,3,5,1.098612289,1.609437912,South
"Toledo, OH",972.46,31,10.7,9.5,7,25,1.945910149,3.218875825,Midwest
"Atlanta, GA",982.29,47,11.1,27.1,8,24,2.079441542,3.17805383,South
"Cleveland, OH",985.95,35,11.1,14.7,21,64,3.044522438,4.158883083,Midwest
"Louisville, KY",989.27,30,9.9,13.1,37,193,3.610917913,5.262690189,South
"Pittsburgh, PA",991.29,36,10.6,8.1,59,263,4.077537444,5.572154032,Northeast
"New York, NY",994.65,42,10.7,11.3,26,108,3.258096538,4.682131227,Northeast
"Albany, NY",997.88,35,11,3.5,10,39,2.302585093,3.663561646,Northeast
"Buffalo, NY",1001.9,36,10.5,8.1,12,37,2.48490665,3.610917913,Northeast
"Wilmington, DE",1003.5,45,11.3,12.1,11,42,2.397895273,3.737669618,Northeast
"Memphis, TN",1006.49,50,10.4,36.7,18,34,2.890371758,3.526360525,South
"Philadelphia, PA",1015.02,42,10.5,17.5,32,161,3.465735903,5.081404365,Northeast
"Chattanooga, TN",1017.61,52,9.6,22.2,8,27,2.079441542,3.295836866,South
"Chicago, IL",1024.89,33,10.9,16.3,63,278,4.143134726,5.627621114,Midwest
"Richmond, VA",1025.5,44,11,28.6,9,48,2.197224577,3.871201011,South
"Birmingham, AL",1030.38,53,10.2,38.5,32,72,3.465735903,4.276666119,South
"Baltimore, MD",1071.29,43,9.6,24.4,38,206,3.63758616,5.327876169,Northeast
"New Orleans, LA",1113.06,54,9.7,31.4,17,1,2.833213344,0,South
